"Terms (Months)","Product Name","Product Description","Product Family","List Price","Active (Product)"
"24","MC-100002","2 Year Small Appliance under $250.00","Appliance","9.99","1"
"36","MC-100003","3 Year Small Appliance under $250.00","Appliance","14.99","1"
"60","MC-100005","5 Year Small Appliance under $250.00","Appliance","24.99","1"
"36","MC-100023","3 Year Small Appliance under $500.00","Appliance","24.99","1"
"60","MC-100025","5 Year Small Appliance under $500.00","Appliance","34.99","1"
"24","MC-100142","2 Year Audio under $100.00","Audio-Visual","9.99","1"
"48","MC-100144","4 Year Audio under $100.00","Audio-Visual","19.99","1"
"24","MC-100162","2 Year Audio under $250.00","Audio-Visual","24.99","1"
"48","MC-100164","4 Year Audio under $250.00","Audio-Visual","24.99","1"
"24","MC-100182","2 Year Audio under $500.00","Audio-Visual","24.99","1"
"48","MC-100184","4 Year Audio under $500.00","Audio-Visual","34.99","1"
"48","MC-100204","4 Year Audio under $1,000.00","Audio-Visual","54.99","1"
"24","MC-100222","2 Year Audio under $1,500.00","Audio-Visual","39.99","1"
"48","MC-100224","4 Year Audio under $1,500.00","Audio-Visual","74.99","1"
"24","MC-100242","2 Year Audio under $2,000.00","Audio-Visual","49.99","1"
"48","MC-100244","4 Year Audio under $2,000.00","Audio-Visual","99.99","1"
"24","MC-100262","2 Year Audio under $2,500.00","Audio-Visual","54.99","1"
"48","MC-100264","4 Year Audio under $2,500.00","Audio-Visual","119.99","1"
"24","MC-100282","2 Year Audio under $4,000.00","Audio-Visual","99.99","1"
"48","MC-100284","4 Year Audio under $4,000.00","Audio-Visual","149.99","1"
"24","MC-100302","2 Year Audio under $5,000.00","Audio-Visual","99.99","1"
"48","MC-100304","4 Year Audio under $5,000.00","Audio-Visual","274.99","1"
"12","MC-100341","1 Year Baby Care under $100.00","General Consumer Electronics","9.99","1"
"12","MC-100361","1 Year Baby Care under $250.00","General Consumer Electronics","14.99","1"
"24","MC-100402","2 Year Lens under $500.00","General Consumer Electronics","9.99","1"
"60","MC-100405","5 Year Lens under $500.00","General Consumer Electronics","14.99","1"
"24","MC-100422","2 Year Lens under $1,500.00","General Consumer Electronics","44.99","1"
"60","MC-100425","5 Year Lens under $1,500.00","General Consumer Electronics","19.99","1"
"24","MC-100442","2 Year Lens under $3,000.00","General Consumer Electronics","19.99","1"
"60","MC-100445","5 Year Lens under $3,000.00","General Consumer Electronics","39.99","1"
"24","MC-100462","2 Year Lens under $7,500.00","General Consumer Electronics","49.99","1"
"60","MC-100465","5 Year Lens under $7,500.00","General Consumer Electronics","64.99","1"
"12","MC-100481","1 Year Cellular Phone under $750.00","General Consumer Electronics","14.99","1"
"24","MC-100482","2 Year Cellular Phone under $250.00","General Consumer Electronics","14.99","1"
"12","MC-100501","1 Year Cellular Phone under $500.00","General Consumer Electronics","19.99","1"
"24","MC-100502","2 Year Cellular Phone under $500.00","General Consumer Electronics","19.99","1"
"12","MC-100521","1 Year Cellular Phone under $750.00","General Consumer Electronics","24.99","0"
"24","MC-100522","2 Year Cellular Phone under $750.00","General Consumer Electronics","24.99","1"
"12","MC-100541","1 Year Cellular Phone under $1,000.00","General Consumer Electronics","29.99","1"
"24","MC-100542","2 Year Cellular Phone under $1,000.00","General Consumer Electronics","29.99","1"
"24","MC-100562","2 Year Cellular Phone under $1,500.00","General Consumer Electronics","44.99","1"
"24","MC-100582","2 Year Commercial Appliance under $500.00","Appliance","24.99","1"
"48","MC-100584","4 Year Commercial Appliance under $500.00","Appliance","49.99","1"
"24","MC-100602","2 Year Commercial Appliance under $1,000.00","Appliance","49.99","1"
"48","MC-100604","4 Year Commercial Appliance under $1,000.00","Appliance","99.99","1"
"24","MC-100622","2 Year Commercial Appliance under $1,500.00","Appliance","74.99","1"
"48","MC-100624","4 Year Commercial Appliance under $1,500.00","Appliance","119.99","1"
"24","MC-100642","2 Year Commercial Appliance under $2,500.00","Appliance","99.99","1"
"48","MC-100644","4 Year Commercial Appliance under $2,500.00","Appliance","149.99","1"
"24","MC-100662","2 Year Commercial Appliance under $5,000.00","Appliance","149.99","1"
"48","MC-100664","4 Year Commercial Appliance under $5,000.00","Appliance","234.99","1"
"24","MC-100682","2 Year Commercial Appliance under $7,500.00","Appliance","199.99","1"
"48","MC-100684","4 Year Commercial Appliance under $7,500.00","Appliance","324.99","1"
"36","MC-100703","3 Yr, ADP from Day 1 under $500.00","General Consumer Electronics","29.99","1"
